Time,clock.secs,clock.nsecs
403.198,403,198000000
403.199,403,199000000
403.2,403,200000000
403.201,403,201000000
403.202,403,202000000
403.203,403,203000000
403.204,403,204000000
403.205,403,205000000
403.206,403,206000000
403.207,403,207000000
403.208,403,208000000
403.209,403,209000000
403.21,403,210000000
403.211,403,211000000
403.212,403,212000000
403.213,403,213000000
403.214,403,214000000
403.215,403,215000000
403.216,403,216000000
403.217,403,217000000
403.218,403,218000000
403.219,403,219000000
403.22,403,220000000
403.221,403,221000000
403.222,403,222000000
403.223,403,223000000
403.224,403,224000000
403.225,403,225000000
403.226,403,226000000
403.227,403,227000000
403.228,403,228000000
403.229,403,229000000
403.23,403,230000000
403.231,403,231000000
403.232,403,232000000
403.233,403,233000000
403.234,403,234000000
403.235,403,235000000
403.236,403,236000000
403.237,403,237000000
403.238,403,238000000
403.239,403,239000000
403.24,403,240000000
403.241,403,241000000
403.242,403,242000000
403.243,403,243000000
403.244,403,244000000
403.245,403,245000000
403.246,403,246000000
403.247,403,247000000
403.248,403,248000000
403.249,403,249000000
403.25,403,250000000
403.251,403,251000000
403.252,403,252000000
403.253,403,253000000
403.254,403,254000000
403.255,403,255000000
403.256,403,256000000
403.257,403,257000000
403.258,403,258000000
403.258,403,259000000
403.26,403,260000000
403.261,403,261000000
403.262,403,262000000
403.263,403,263000000
403.263,403,264000000
403.265,403,265000000
403.266,403,266000000
403.267,403,267000000
403.268,403,268000000
403.269,403,269000000
403.269,403,270000000
403.271,403,271000000
403.272,403,272000000
403.273,403,273000000
403.274,403,274000000
403.275,403,275000000
403.276,403,276000000
403.277,403,277000000
403.278,403,278000000
403.279,403,279000000
403.28,403,280000000
403.281,403,281000000
403.282,403,282000000
403.283,403,283000000
403.284,403,284000000
403.285,403,285000000
403.286,403,286000000
403.287,403,287000000
403.288,403,288000000
403.289,403,289000000
403.29,403,290000000
403.29,403,291000000
403.291,403,292000000
403.293,403,293000000
403.294,403,294000000
403.295,403,295000000
403.296,403,296000000
403.297,403,297000000
403.298,403,298000000
403.299,403,299000000
403.3,403,300000000
403.301,403,301000000
403.302,403,302000000
403.303,403,303000000
403.304,403,304000000
403.305,403,305000000
403.307,403,306000000
403.307,403,307000000
403.308,403,308000000
403.309,403,309000000
403.31,403,310000000
403.311,403,311000000
403.312,403,312000000
403.313,403,313000000
403.314,403,314000000
403.315,403,315000000
403.316,403,316000000
403.317,403,317000000
403.318,403,318000000
403.319,403,319000000
403.32,403,320000000
403.321,403,321000000
403.322,403,322000000
403.323,403,323000000
403.324,403,324000000
403.325,403,325000000
403.325,403,326000000
403.327,403,327000000
403.328,403,328000000
403.329,403,329000000
403.33,403,330000000
403.331,403,331000000
403.332,403,332000000
403.333,403,333000000
403.334,403,334000000
403.335,403,335000000
403.336,403,336000000
403.337,403,337000000
403.338,403,338000000
403.339,403,339000000
403.34,403,340000000
403.341,403,341000000
403.342,403,342000000
403.343,403,343000000
403.344,403,344000000
403.345,403,345000000
403.346,403,346000000
403.347,403,347000000
403.348,403,348000000
403.349,403,349000000
403.35,403,350000000
403.351,403,351000000
403.352,403,352000000
403.353,403,353000000
403.354,403,354000000
403.355,403,355000000
403.356,403,356000000
403.357,403,357000000
403.358,403,358000000
403.359,403,359000000
403.36,403,360000000
403.361,403,361000000
403.362,403,362000000
403.363,403,363000000
403.364,403,364000000
403.365,403,365000000
403.366,403,366000000
403.367,403,367000000
403.368,403,368000000
403.369,403,369000000
403.37,403,370000000
403.371,403,371000000
403.372,403,372000000
403.373,403,373000000
403.374,403,374000000
403.375,403,375000000
403.376,403,376000000
403.377,403,377000000
403.378,403,378000000
403.379,403,379000000
403.38,403,380000000
403.381,403,381000000
403.382,403,382000000
403.383,403,383000000
403.384,403,384000000
403.385,403,385000000
403.386,403,386000000
403.387,403,387000000
403.388,403,388000000
403.389,403,389000000
403.39,403,390000000
403.391,403,391000000
403.392,403,392000000
403.393,403,393000000
403.394,403,394000000
403.395,403,395000000
403.396,403,396000000
403.397,403,397000000
403.398,403,398000000
403.399,403,399000000
403.4,403,400000000
403.401,403,401000000
403.402,403,402000000
403.403,403,403000000
403.404,403,404000000
403.405,403,405000000
403.406,403,406000000
403.407,403,407000000
403.408,403,408000000
403.409,403,409000000
403.41,403,410000000
403.411,403,411000000
403.412,403,412000000
403.413,403,413000000
403.414,403,414000000
403.415,403,415000000
403.416,403,416000000
403.417,403,417000000
403.418,403,418000000
403.419,403,419000000
403.42,403,420000000
403.421,403,421000000
403.422,403,422000000
403.423,403,423000000
403.424,403,424000000
403.425,403,425000000
403.426,403,426000000
403.427,403,427000000
403.428,403,428000000
403.429,403,429000000
403.43,403,430000000
403.431,403,431000000
403.432,403,432000000
403.433,403,433000000
403.434,403,434000000
403.435,403,435000000
403.436,403,436000000
403.437,403,437000000
403.438,403,438000000
403.439,403,439000000
403.44,403,440000000
403.441,403,441000000
403.442,403,442000000
403.443,403,443000000
403.443,403,444000000
403.445,403,445000000
403.446,403,446000000
403.447,403,447000000
403.448,403,448000000
403.449,403,449000000
403.45,403,450000000
403.451,403,451000000
403.452,403,452000000
403.453,403,453000000
403.454,403,454000000
403.455,403,455000000
403.456,403,456000000
403.457,403,457000000
403.458,403,458000000
403.459,403,459000000
403.46,403,460000000
403.461,403,461000000
403.462,403,462000000
403.463,403,463000000
403.464,403,464000000
403.465,403,465000000
403.466,403,466000000
403.467,403,467000000
