Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
421.466,0.1,0.0,0.0,0.0,0.0,0.0
421.566,0.1,0.0,0.0,0.0,0.0,0.0
421.666,0.1,0.0,0.0,0.0,0.0,0.0
421.766,0.1,0.0,0.0,0.0,0.0,0.0
421.867,0.1,0.0,0.0,0.0,0.0,0.0
421.967,0.1,0.0,0.0,0.0,0.0,0.0
422.066,0.1,0.0,0.0,0.0,0.0,0.0
422.166,0.1,0.0,0.0,0.0,0.0,0.0
422.266,0.1,0.0,0.0,0.0,0.0,0.0
422.366,0.1,0.0,0.0,0.0,0.0,0.0
422.466,0.1,0.0,0.0,0.0,0.0,0.0
422.566,0.1,0.0,0.0,0.0,0.0,0.0
422.666,0.1,0.0,0.0,0.0,0.0,0.0
422.766,0.1,0.0,0.0,0.0,0.0,0.0
422.866,0.1,0.0,0.0,0.0,0.0,0.0
422.966,0.1,0.0,0.0,0.0,0.0,0.0
423.066,0.1,0.0,0.0,0.0,0.0,0.0
423.166,0.1,0.0,0.0,0.0,0.0,0.0
423.267,0.1,0.0,0.0,0.0,0.0,0.0
423.367,0.1,0.0,0.0,0.0,0.0,0.0
423.466,0.1,0.0,0.0,0.0,0.0,0.0
423.566,0.1,0.0,0.0,0.0,0.0,0.0
423.666,0.1,0.0,0.0,0.0,0.0,0.0
423.766,0.1,0.0,0.0,0.0,0.0,0.0
423.866,0.1,0.0,0.0,0.0,0.0,0.0
423.967,0.1,0.0,0.0,0.0,0.0,0.0
424.066,0.1,0.0,0.0,0.0,0.0,0.0
424.166,0.1,0.0,0.0,0.0,0.0,0.0
424.266,0.1,0.0,0.0,0.0,0.0,0.0
424.366,0.1,0.0,0.0,0.0,0.0,0.0
424.466,0.1,0.0,0.0,0.0,0.0,0.0
424.567,0.1,0.0,0.0,0.0,0.0,0.0
424.666,0.1,0.0,0.0,0.0,0.0,0.0
424.766,0.1,0.0,0.0,0.0,0.0,0.0
424.866,0.1,0.0,0.0,0.0,0.0,0.0
424.966,0.1,0.0,0.0,0.0,0.0,0.0
425.068,0.1,0.0,0.0,0.0,0.0,0.0
425.166,0.1,0.0,0.0,0.0,0.0,0.0
425.266,0.1,0.0,0.0,0.0,0.0,0.0
425.366,0.1,0.0,0.0,0.0,0.0,0.0
425.466,0.1,0.0,0.0,0.0,0.0,0.0
425.566,0.1,0.0,0.0,0.0,0.0,0.0
425.666,0.1,0.0,0.0,0.0,0.0,0.0
425.767,0.1,0.0,0.0,0.0,0.0,0.0
425.866,0.1,0.0,0.0,0.0,0.0,0.0
425.966,0.1,0.0,0.0,0.0,0.0,0.0
426.066,0.1,0.0,0.0,0.0,0.0,0.0
426.166,0.1,0.0,0.0,0.0,0.0,0.0
426.266,0.1,0.0,0.0,0.0,0.0,0.0
426.367,0.1,0.0,0.0,0.0,0.0,0.0
426.466,0.1,0.0,0.0,0.0,0.0,0.0
426.566,0.1,0.0,0.0,0.0,0.0,0.0
426.666,0.1,0.0,0.0,0.0,0.0,0.0
426.767,0.1,0.0,0.0,0.0,0.0,0.0
426.866,0.1,0.0,0.0,0.0,0.0,0.0
426.966,0.1,0.0,0.0,0.0,0.0,0.0
427.066,0.1,0.0,0.0,0.0,0.0,0.0
427.166,0.1,0.0,0.0,0.0,0.0,0.0
427.266,0.1,0.0,0.0,0.0,0.0,0.0
427.367,0.1,0.0,0.0,0.0,0.0,0.0
427.466,0.1,0.0,0.0,0.0,0.0,0.0
427.566,0.1,0.0,0.0,0.0,0.0,0.0
427.666,0.1,0.0,0.0,0.0,0.0,0.0
427.766,0.1,0.0,0.0,0.0,0.0,0.0
427.866,0.1,0.0,0.0,0.0,0.0,0.0
427.966,0.1,0.0,0.0,0.0,0.0,0.0
428.066,0.1,0.0,0.0,0.0,0.0,0.0
428.166,0.1,0.0,0.0,0.0,0.0,0.0
428.266,0.1,0.0,0.0,0.0,0.0,0.0
428.366,0.1,0.0,0.0,0.0,0.0,0.0
