Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
441.08,22044,441,80000000,base,0.009489822605887412,0.0015123075634597765,0.023587024340498964,0.9996756016205973,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.17926004798559322,-0.16743235269191384,-0.1091735145064417,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.1672922868040374,0.7240879748730946,11.826804220427425,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.099,22045,441,100000000,base,0.011037145845107772,-0.0009234856216109981,0.023429080235370103,0.999664146993992,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.14965982671452743,-0.2442457856027547,-0.011660001161417787,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.6430184242453083,1.435994370801835,10.481879190058404,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.12,22046,441,120000000,base,0.009437203589406364,-0.002532020223654176,0.023867007816034163,0.9996673916858089,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.16555244416111398,-0.16419001938075645,0.04574577456907661,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.6385349342160758,1.539917582556569,9.30124994066772,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.14,22047,441,140000000,base,0.005777422159723348,-0.0029646786709175994,0.02466835646539515,0.9996745991885871,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.36728994263719195,-0.023248358880638538,0.07671299378053943,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.5642908380907088,2.0218577601216063,11.241964766975602,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.16,22048,441,160000000,base,0.0027485853622365402,-0.0030478131885482707,0.027021624648082207,0.9996264241778788,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.2861590447378321,0.01041931160463926,0.23400253606121657,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.874483387515461,0.7797369852908616,10.606833151217172,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.18,22049,441,180000000,base,-0.001018188533942239,-0.0029802859402992383,0.030314805535642003,0.9995354389681036,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.3667416151414958,0.025480639970525798,0.3320258397009851,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.9588059562958119,0.01593760056920139,3.6867672763891166,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.2,22050,441,200000000,base,-0.0009515863840210946,0.00029477232469165063,0.03269505323563933,0.9994648773651573,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.014485856278628912,0.3370193410643904,0.24682787788432645,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-1.0649782881516239,0.24269366008338358,5.921785215166549,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.22,22051,441,220000000,base,-0.002641076800474785,0.003095487798937878,0.03404682975125094,0.9994119551278691,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.1480818361189137,0.2886923360970544,0.13631997257236975,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.45743212375092385,0.16275985782424726,7.626812876401282,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.24,22052,441,240000000,base,-0.0066664066994516396,0.004786563652524063,0.03447625528893645,0.999371820520956,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.39758421698140584,0.19343883332208262,0.04338518728198713,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-1.1587895197493654,0.4044659237393138,9.071881557942978,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.26,22053,441,260000000,base,-0.0106318533012468,0.00678455388285694,0.034829438539158195,0.9993136863543088,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.38311492652854207,0.22181700838083748,0.032287671301022426,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-1.2489986304694007,0.5339819794875807,11.351258566772797,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.28,22054,441,280000000,base,-0.013998128192837416,0.008833933226563829,0.03574054372589852,0.9992240127043699,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.3275826790124823,0.21924423096817636,0.08939184410113474,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.8563702141480041,0.34416129931296696,12.27536200467303,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.3,22055,441,300000000,base,-0.017726159722010536,0.010158106607396123,0.037080798469129414,0.9991034033154699,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.3617861899848959,0.1420130149353057,0.14007648851876325,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.11815931742472588,-0.05065461096314922,12.349908465521521,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.32,22056,441,320000000,base,-0.02192485655303073,0.010367681375023438,0.038384548109453985,0.9989686873543475,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.41684232255102255,0.033374813477972685,0.1260456163435344,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.8255203042175473,-0.5620394980579436,11.595627497283358,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.34,22057,441,340000000,base,-0.025382405690011087,0.009997478030834672,0.03918100799822435,0.9988596660826051,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.34594894172044066,-0.019585287599821866,0.07665904249324072,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.4489450271186874,-1.1636700543720726,10.537380263839802,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.36,22058,441,360000000,base,-0.027118945567199237,0.010088231260244197,0.03925286568043082,0.9988102937581476,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.17767493536394724,0.025997703948657858,0.004098524052037297,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.5704365777295102,-1.6766909118548978,9.81473495986975,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.379,22059,441,380000000,base,-0.022750123905149515,0.00915247261403206,0.03858580109283404,0.9989543533422206,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.44603749964590184,-0.10236811748061926,-0.06066770498112435,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.032382424393721285,-3.4023653978644717,13.625104348092576,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.4,22060,441,400000000,base,-0.009528311548762557,0.003200522870614403,0.037765237555236565,0.9992360855997853,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,1.2974887515020432,-0.6319584571062886,-0.08139661015440673,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.6974972498365214,-3.360797691342561,12.733328912139134,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.42,22061,441,420000000,base,0.0022739838556837273,-0.00511248598302239,0.03634185787828277,0.9993237517693914,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,1.1609817731474141,-0.8719407864197648,-0.14783650518859368,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.24562909394673074,-0.6715864295462697,4.577367633665431,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.44,22062,441,440000000,base,0.0049294358041217625,-0.008700038680968135,0.035436815898491056,0.9993218911184619,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.2551703802468963,-0.36315797841847863,-0.08926218733355222,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.9906911033460432,0.2214142604601385,2.8238014682118306,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.46,22063,441,460000000,base,-0.002004081898377958,-0.006503323844884103,0.034409387351474696,0.9993846529223916,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.6827524511926824,0.24544657104555173,-0.09923890538579612,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.46031105381118287,0.9715296060100178,6.230335404014988,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.48,22064,441,480000000,base,-0.006432512339435025,-0.0031568335801403498,0.03318134476415119,0.9994236616902727,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,-0.4253289701562664,0.365213590354278,-0.1237753379903802,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.5776685056290365,0.891570999596089,7.244270010690311,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.5,22065,441,500000000,base,-0.003626378573310303,-0.0009266460640885828,0.032789867881950895,0.9994552592636647,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.28757534045556277,0.22020585591151182,-0.04725011359936902,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-1.017213611271822,0.16415115533777136,10.566022759781308,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.52,22066,441,520000000,base,0.0017676302690764543,0.00059012117175988,0.0321495540669655,0.9994813321986208,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.5424422141404952,0.1357820393832153,-0.06836564587604446,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-1.2975185979208064,-0.6720920522961431,12.865997408745883,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.54,22067,441,540000000,base,0.004629954413887112,0.0019732656818885522,0.03068561845665143,0.9995164143547655,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.28679414312253937,0.13466043558125215,-0.14839588618899102,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,-0.8204051640220504,-0.8437370060240128,13.66181259854647,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.56,22068,441,560000000,base,0.005721177702669964,0.002209659935201489,0.028940834030033696,0.9995623110413434,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.11057429452589657,0.026882669806051897,-0.17157865386716437,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,0.1984196980755669,-0.3063780072503974,13.171014342716651,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
441.58,22069,441,580000000,base,0.007389879299027611,0.0004682949783884893,0.027794677299939737,0.9995862275449535,2.6030820491461885e-07,0.0,0.0,0.0,2.6030820491461885e-07,0.0,0.0,0.0,0.0,0.15909639019613014,-0.1722418664437474,-0.1133890746457272,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05,1.1759392286214174,0.6038293927999651,11.726564961303746,2.5e-05,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,2.5e-05
